('https://astrea.linkeddata.es/shapes#28859dcb6be4a9e21f596c8879fa717a', 'http://www.w3.org/ns/ssn/inDeployment', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#0a5804dbf271e1e0746c63e997fd9601', 'https://saref.etsi.org/core/FeatureKind', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#81f165e1fc40168485d8a79761fe64cd', 'http://www.w3.org/ns/ssn/deployedOnPlatform', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#b1ac7f6ee7079e85cb1b3b8eb11e1c43', 'https://saref.etsi.org/core/Motion', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#e997320b81413744c6b7f0c16a0715ab', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#4a7a92454d93287faec5cb6577d97e81', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/PlatformConstraint', 'http://www.w3.org/ns/sosa/Platform', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#e61935f1cc0fbdc80be67c061e1cbf71', 'http://www.w3.org/ns/ssn/wasOriginatedBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#21e87ae54ee2f9e68cf4b18b30541c13', 'http://www.w3.org/ns/sosa/hosts', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#e92dc0050e023e468e3715d138b27130', 'https://saref.etsi.org/core/Humidity', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/observedProperty', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/actsOnPropertyRangeConstraint', 'http://www.w3.org/ns/sosa/actsOnProperty', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/PlatformConstraint', 'http://www.w3.org/ns/ssn/inDeployment', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeBySensorRangeConstraint', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#08ef36d09b3e80016857192d74871fae', 'https://saref.etsi.org/core/hasCommandOfInterest', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#9ad1129450da26cf8bc636fcc4f17df6', 'https://saref.etsi.org/core/offers', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#bc7f3ae52178c2b9707957cfc000b393', 'https://saref.etsi.org/core/SensingFunction', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/ObservationCollection', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#12e900c4a4fd715327d0e8dadef8a13c', 'https://saref.etsi.org/core/OpenState', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#534257dc478f71b4863319e4937f6db3', 'https://saref.etsi.org/core/actsUpon', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#f320c8d829ddc6fc9d7a05cf830ce1c1', 'https://saref.etsi.org/core/hasManufacturer', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#14ffc5caa004487c821bf9987d25341b', 'https://saref.etsi.org/core/relatesToProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#08ef36d09b3e80016857192d74871fae', 'https://saref.etsi.org/core/FunctionOfInterest', 'http://www.w3.org/ns/shacl#targetClass')
