('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SampleConstraint', 'http://www.w3.org/ns/sosa/isSampleOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#64478794b6093b0b3b562700029f0008', 'https://saref.etsi.org/core/SetRelativeLevelCommand', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isObservedByRangeConstraint', 'http://www.w3.org/ns/sosa/isObservedBy', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/resultTimeDomainConstraint', 'http://www.w3.org/ns/sosa/resultTime', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/sosa/FeatureOfInterest')
('https://astrea.linkeddata.es/shapes#4a0fe07d77e1568c9f6119967b7b3d3a', 'http://www.w3.org/ns/sosa/actsOnProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#9551277a29d67a16ebf869c978be6865', 'https://saref.etsi.org/core/Commodity', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#14ffc5caa004487c821bf9987d25341b', 'https://saref.etsi.org/core/relatesToProperty', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isResultOfRangeConstraint', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ResultConstraint', 'http://www.w3.org/ns/sosa/Result', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#29973d39ed13ef76a30bf248a5070022', 'https://saref.etsi.org/core/Gas', 'http://www.w3.org/ns/shacl#targetClass')
('https://saref.etsi.org/core/StateOfInterest', 'https://saref.etsi.org/core/hasStateKind', 'https://saref.etsi.org/core/State')
('https://astrea.linkeddata.es/shapes#e61935f1cc0fbdc80be67c061e1cbf71', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/ObservableProperty', 'http://www.w3.org/ns/sosa/isObservedBy', 'http://www.w3.org/ns/sosa/Sensor')
('https://saref.etsi.org/core/FunctionOfInterest', 'https://saref.etsi.org/core/isFunctionOfInterestOf', 'https://saref.etsi.org/core/Device')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeObservationRangeConstraint', 'http://www.w3.org/ns/sosa/madeObservation', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#e7929688d1eb164b8e14b2892279ac15', 'http://www.w3.org/ns/ssn/deployedOnPlatform', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c4b64fa4bce8c5b66b94e01896c98bd1', 'https://saref.etsi.org/core/Function', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#0a5804dbf271e1e0746c63e997fd9601', 'https://saref.etsi.org/core/hasProfile', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#88d3f022bbe5ad4138183c6dd3f64ebf', 'https://saref.etsi.org/core/isUsedFor', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#f00e56e400d3d438273881a4327e27b9', 'https://saref.etsi.org/core/EnergyCommodity', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#eef4e9102f8c4e433815a9af41e4f720', 'http://www.w3.org/ns/ssn/detects', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#91e50ba5cb946ed6f71185c768ba8d74', 'https://saref.etsi.org/core/OffCommand', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeBySensorDomainConstraint', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/observesDomainConstraint', 'http://www.w3.org/ns/sosa/observes', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/phenomenonTimeDomainConstraint', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#fc7a03c80b9aeb5f2d8c56466ff5eac2', 'https://saref.etsi.org/core/LevelControlFunction', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#5aae9ec4c018b10fa0fc1499ea26a0fc', 'https://saref.etsi.org/core/GetCommand', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Observation', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/sosa/Result')
('https://astrea.linkeddata.es/shapes#dfdba9079e7e010d0f25a0ec09258e35', 'https://saref.etsi.org/core/isStateOfInterestOf', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/Sampling', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/2006/time#TemporalEntity')
('https://astrea.linkeddata.es/shapes#56557bc9303fc90a597d12a094b83eb3', 'http://www.w3.org/ns/sosa/Result', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/sosa/Sample')
('https://astrea.linkeddata.es/shapes#bee48000d187d18b22984aafd3e3aa79', 'https://saref.etsi.org/core/StepDownCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#f7d4d51806befb3a506e515ecc4ff352', 'https://saref.etsi.org/core/OffState', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/sosa/resultTime', 'http://www.w3.org/2001/XMLSchema#dateTime')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/Sampling', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/sosa/Procedure')
('https://saref.etsi.org/core/Service', 'https://saref.etsi.org/core/hasOperation', 'https://saref.etsi.org/core/Operation')
('https://astrea.linkeddata.es/shapes#eef4e9102f8c4e433815a9af41e4f720', 'http://www.w3.org/ns/sosa/Sensor', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ActuationConstraint', 'http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/sosa/hasSimpleResult', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#88d3f022bbe5ad4138183c6dd3f64ebf', 'https://saref.etsi.org/core/measuresProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#69481c5a25b05ae065ddc1a97001d0c0', 'https://saref.etsi.org/core/PropertyValue', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#6d7832e4d93e75af0ce4b1bf9ad59537', 'https://saref.etsi.org/core/StartStopState', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#e7929688d1eb164b8e14b2892279ac15', 'http://www.w3.org/ns/ssn/forProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#419a96fe71239c01ed4effc708290d37', 'https://saref.etsi.org/core/OpenCloseFunction', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ActuationConstraint', 'http://www.w3.org/ns/sosa/hasSimpleResult', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#8b6c87bc4f03bc761baf9f3299f12e6c', 'https://saref.etsi.org/core/controls', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ProcedureConstraint', 'http://www.w3.org/ns/ssn/hasInput', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#8b0af283fe5af7013cd9d8af9f12dc79', 'https://saref.etsi.org/core/PauseCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://saref.etsi.org/core/FunctionOfInterest', 'https://saref.etsi.org/core/hasFunctionKind', 'https://saref.etsi.org/core/Function')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/usedProcedureDomainConstraint', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://saref.etsi.org/core/CommandOfInterest', 'https://saref.etsi.org/core/hasCommandKind', 'https://saref.etsi.org/core/Command')
('https://astrea.linkeddata.es/shapes#77918fa8f252700e8866b9d9abb6e2e0', 'http://www.w3.org/ns/sosa/Sampler', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#0a5804dbf271e1e0746c63e997fd9601', 'http://www.w3.org/2004/02/skos/core#narrower', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c378c62f98efa2f61271d583c4ee1dde', 'https://saref.etsi.org/core/Operation', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isResultOfDomainConstraint', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#3b1fed4016ea3410e7b39f0cf0331513', 'http://xmlns.com/foaf/0.1/Agent', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#d8fcc404ec3569ab405576151e2c63f9', 'https://saref.etsi.org/core/isControlledByDevice', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#81b8e6b70dbc57d774221b33b822db71', 'https://saref.etsi.org/core/Power', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/ObservationCollection', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Platform', 'http://www.w3.org/ns/sosa/isHostedBy', 'http://www.w3.org/ns/sosa/Platform')
